kod,nazwa,synteza,zadania,zadania_zawodowe,zawodowe
312,"Mistrzowie produkcji w górnictwie, przemyśle przetwórczym i budownictwie oraz  osoby dozoru ruchu w górnictwie","Mistrzowie produkcji w górnictwie, przemyśle przetwórczym i budownictwie oraz osoby dozoru ruchu w górnictwie koordynują, nadzorują, kontrolują i planują prace wykonywane przez poszczególnych pracowników produkcji w górnictwie, przemyśle przetwórczym i budownictwie.",,"Do zadań mistrzów ujętych w tej grupie należy zazwyczaj: nadzorowanie, kontrola i koordynowanie działań rzemieślników, kontrolerów procesu przemysłowego, operatorów maszyn, monterów, pracowników fizycznych i innych, organizowanie i planowanie prac na każdy dzień; przygotowywanie kosztorysów, protokołów i sprawozdań; identyfikacja niedoborów materiałów; zapewnianie bezpieczeństwa pracowników; instruowanie i szkolenie nowych pracowników. Do ich zadań może także należeć nadzorowanie innych pracowników.",
313,Kontrolerzy (sterowniczy) procesów przemysłowych,"Kontrolerzy (sterowniczy) procesów przemysłowych obsługują i nadzorują tablice rozdzielcze, skomputeryzowane systemy kontroli, wielofunkcyjne urządzenia kontroli procesu przemysłowego oraz dokonują konserwacji bloków przetwórczych w zakładach produkcji i dystrybucji energii elektrycznej, oczyszczalniach ścieków, zakładach uzdatniania wody, zakładach utylizacji i składowania odpadów, rafineriach, zakładach zajmujących się przetwarzaniem gazu zimnego i zakładach przetwórstwa metali oraz innych zakładach zajmujących się wielokrotną obróbką.",,"Do zadań kontrolerów (sterowniczych) procesów przemysłowych ujętych w tej grupie należy zwykle: obsługa elektronicznego lub skomputeryzowanego pulpitu sterowniczego głównej sterowni w celu kontroli i optymalizacji procesów uruchamiania i wyłączania kontroli procesów przemysłowych; obsługa i monitorowanie tablic rozdzielczych i podobnego sprzętu; kontrolowanie i sprawdzanie sprzętu i systemów w celu wykrycia usterek; prowadzenie odczytów ze schematów, liczników i wskaźników w wymaganych odstępach czasu; rozwiązywanie problemów i podejmowanie działań korekcyjnych; prowadzenie zapisów i tworzenie sprawozdań; komunikowanie się z innymi członkami personelu w celu dokonania oceny sprawności sprzętu. Do ich zadań może także należeć nadzorowanie innych pracowników.",
314,"Technicy nauk biologicznych, rolniczych i technologii żywności","Technicy nauk biologicznych, rolniczych i technologii żywności wykonują rozmaite prace techniczne mające na celu wspieranie ekspertów w dziedzinie nauk biologicznych w prowadzeniu badań, rozwoju, zarządzaniu oraz prowadzeniu prac na rzecz ochrony w obszarach takich, jak biologia, botanika, zoologia, biotechnologia i biochemia; w rolnictwie, rybołówstwie i leśnictwie, uczestniczą w badaniach i opracowywaniu nowych produktów żywnościowych i technologii oraz organizują i nadzorują procesy pracy i produkcji produktów żywnościowych na powierzonym im odcinku produkcji.",,"Do zadań techników ujętych w tej grupie należy zwykle: prowadzenie badań, eksperymentów, analiz laboratoryjnych, badań terenowych i pomiarów w celu gromadzenia informacji za pomocą przyjętych metod naukowych; prowadzenie zapisów; pomoc w analizie danych i sporządzaniu sprawozdań; obsługa i konserwacja sprzętu; opracowywanie nowych asortymentów produktów żywnościowych oraz nadzorowanie prawidłowości przebiegu procesów technologicznych; nadzorowanie warunków higieniczno-sanitarnych produkcji oraz przestrzegania przez pracowników przepisów bhp; prowadzenie dokumentacji produkcyjnej. Do ich zadań może także należeć nadzorowanie innych pracowników.",
315,"Pracownicy transportu morskiego, żeglugi śródlądowej i lotnictwa  (z wyłączeniem sił zbrojnych)","Pracownicy transportu morskiego, żeglugi śródlądowej i lotnictwa (z wyłączeniem sił zbrojnych) dowodzą i nawigują statkami wodnymi i powietrznymi, pełnią funkcje techniczne służące zapewnieniu bezpiecznego i skutecznego ruchu oraz działania urządzeń oraz opracowują elektryczne, elektromechaniczne i skomputeryzowane systemy kontroli lotów.",,"Do zadań wykonywanych przez pracowników transportu morskiego, żeglugi śródlądowej i lotnictwa (z wyłączeniem sił zbrojnych) ujętych w tej grupie należy zazwyczaj: kontrolowanie działania mechanicznych, elektrycznych i elektronicznych urządzeń na pokładzie statków wodnych lub powietrznych, dowodzenie i nawigowanie statkami wodnymi lub powietrznymi, kierowanie ruchem statków wodnych lub powietrznych oraz opracowywanie elektrycznych, elektromechanicznych i skomputeryzowanych systemów kontroli. Do ich zadań może także należeć nadzorowanie innych pracowników.",
321,Technicy medyczni i farmaceutyczni,"Technicy medyczni i farmaceutyczni wykonują zadania techniczne wspomagające diagnostykę i leczenie chorób, urazów i upośledzeń.",,"Zadania wykonywane przez techników medycznych i farmaceutycznych obejmują zazwyczaj: testowanie i obsługę radiograficznych, ultrasonograficznych i innych medycznych urządzeń obrazujących; podawanie radiofarmaceutyków lub poddawanie pacjentów promieniowaniu celem wykrywania lub leczenia chorób; przeprowadzanie testów klinicznych próbek płynów ustrojowych i tkanek ciała; przygotowywanie leków i innych złożonych substancji farmaceutycznych pod kierunkiem farmaceutów; projektowanie, instalację, obsługę i naprawy narzędzi i sprzętów medycznych i dentystycznych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
322,Dietetycy i żywieniowcy,"Dietetycy i żywieniowcy uczestniczą w badaniach dotyczących przygotowania i stosowania diet ogólnego lub terapeutycznego przeznaczenia, a także w doskonaleniu metod praktycznych żywienia; planują i nadzorują przygotowywanie diet; uczestniczą w programach edukacji żywieniowej oraz prowadzą doradztwo w zakresie problemów żywienia.",,"Zadania wykonywane przez dietetyków i żywieniowców obejmują zazwyczaj: rozwijanie metod i diet żywieniowych oraz ich testowanie; planowanie, nadzorowanie i przygotowywanie diet leczniczych i innych dla poszczególnych osób, grup w szpitalach lub dla grup pracowniczych; uczestniczenie w programach edukacji żywieniowej i działaniach rehabilitacji żywieniowej; doradztwo w zakresie żywienia w określonych środowiskach i prowadzenie programów ochrony zdrowia; uaktualnianie swojej wiedzy dotyczącej problematyki żywienia i utrzymywanie kontaktów z odpowiednimi specjalistami; prowadzenie wykładów na temat żywienia i diet; prowadzenie profesjonalnych porad i programów żywieniowych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
323,Praktykujący niekonwencjonalne lub komplementarne metody terapii,"Praktykujący niekonwencjonalne lub komplementarne metody terapii zajmują się profilaktyką i leczeniem chorób fizycznych i psychicznych, zaburzeń i urazów u ludzi oraz opieką nad pacjentami przy wykorzystaniu terapii ziołowych i innych terapii opartych na teoriach, wierzeniach i doświadczeniach właściwych dla poszczególnych kultur.",,"Zadania wykonywane przez praktykujących niekonwencjonalne lub komplementarne metody terapii obejmują zazwyczaj: badanie pacjentów i przeprowadzanie wywiadu z nimi i ich rodzinami w celu określenia stanu ich zdrowia i natury fizycznych lub psychicznych zaburzeń, bądź innych dolegliwości; zalecanie oraz prowadzenie opieki i leczenia w przypadku chorób lub innych dolegliwości przy zastosowaniu tradycyjnych technik i środków leczniczych takich jak: fizyczne oddziaływanie na ciało i ćwiczenia fizyczne, upuszczanie krwi lub wykorzystywanie preparatów zawierających ekstrakty z ziół, roślin, owadów i zwierząt; świadczenie opieki i leczenie metodami niekonwencjonalnymi urazów fizycznych; udzielanie porad dotyczących zdrowia, diety, higieny, trybu życia i innych zagadnień związanych z zachowaniem lub poprawą zdrowia i dobrego samopoczucia; kierowanie pacjentów do innych specjalistów działających w zakresie ochrony zdrowia oraz wymienianie się z nimi informacjami celem zapewnienia całościowej i nieprzerwanej opieki. Do ich zadań może także należeć nadzorowanie innych pracowników.",
324,Technicy weterynarii,"Technicy weterynaryjni wykonują zadania doradcze, diagnostyczne, zapobiegawcze i terapeutyczne w dziedzinie weterynarii, o zakresie i kompleksowości ograniczonej w stosunku do tych, jakie wykonują lekarze weterynarii. Sprawują oni opiekę nad zwierzętami poddawanymi leczeniu i pozostającymi tymczasowo w placówkach weterynaryjnych oraz pomagają lekarzom weterynarii w przeprowadzaniu zabiegów i operacji.",,"Zadania wykonywane przez techników weterynarii zazwyczaj obejmują: udzielanie porad dotyczących pielęgnacji zwierząt oraz ich chorób i urazów; przeprowadzanie badań zwierząt w celu postawienia diagnozy i przekazywanie trudniejszych przypadków lekarzom weterynarii, jeśli zajdzie taka potrzeba; leczenie chorych lub rannych zwierząt; czyszczenie i wyjaławianie stołów i instrumentów do badania oraz przygotowywanie materiałów, które będą wykorzystywane do badania zwierząt i przeprowadzania zabiegów; wykonywanie zadań technicznych związanych ze sztucznym unasiennianiem zwierząt; przygotowywanie zwierząt do badania lub zabiegu oraz unieruchamianie lub przytrzymywanie ich podczas zabiegu; pomaganie lekarzom weterynarii w podawaniu środków znieczulających i tlenu podczas zabiegu; umieszczanie zwierząt w klatkach na czas rekonwalescencji po operacji oraz monitorowanie ich stanu. Do ich zadań może także należeć nadzorowanie innych pracowników.",
325,Inny średni personel do spraw zdrowia,"Inny średni personel ochrony zdrowia wykonuje zadania techniczne i pomocnicze w dziedzinie stomatologii, administrowania dokumentacją medyczną, zdrowia publicznego, korekty obniżonej ostrości wzroku, fizjoterapii, zdrowia środowiskowego, pomocy medycznej w nagłych wypadkach oraz inne czynności mające na celu szerzenie i promocję zdrowia ludzkiego.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: sprawowanie podstawowej opieki w dziedzinie profilaktyki i leczenia chorób i zaburzeń uzębienia i jamy ustnej; udzielanie społecznościom i pojedynczym osobom porad dotyczących higieny, diety i innych środków zapobiegawczych służących obniżaniu ryzyka dla zdrowia; zestawianie i prowadzenie dokumentacji medycznej dotyczącej stanu zdrowia i leczenia, zawierającej dane potrzebne do badań, wystawiania rachunków, kontroli kosztów i usprawniania opieki; pomaganie rodzinom w zdobywaniu niezbędnych umiejętności i środków do poprawy stanu zdrowia ich członków; udzielanie porad i edukowanie w zakresie higieny i przepisów dotyczących czynników środowiskowych i zawodowych, które mogą mieć wpływ na zdrowie; masowanie miękkich tkanek ciała; przygotowywanie pacjentów do badań; docieranie do miejsc wypadków i zdarzeń nagłych oraz odpowiadanie na prośby o pomoc medyczną. Do ich zadań może także należeć nadzorowanie innych pracowników.",
331,Średni personel do spraw finansowych,"Średni personel do spraw finansowych określa wartość różnych przedmiotów i nieruchomości, prowadzi rejestry transakcji finansowych, analizuje informacje związane z wnioskami kredytowymi i wydaje stosowne decyzje, nabywa i zbywa instrumenty finansowe oraz wykonuje obliczenia matematyczne i inne.",,"Zadania wykonywane przez pracowników ujętych w tej grupie zazwyczaj obejmują: rejestrowanie i przekazywanie zleceń kupna i sprzedaży papierów wartościowych, akcji, obligacji lub innych instrumentów finansowych oraz walut dostarczanych w określonym terminie lub natychmiast; przedkładanie kierownictwu wniosków kredytowych z zaleceniem ich zatwierdzenia lub odrzucenia; zatwierdzanie lub odrzucanie wniosków w ramach przysługującego zakresu upoważnień przy zapewnieniu przestrzegania standardów danej instytucji dotyczących kredytów; prowadzenie kompletnych rejestrów wszystkich transakcji finansowych przedsiębiorstwa zgodnie z ogólnymi zasadami księgowości i wedle wskazówek księgowych; pomaganie w planowaniu i wykonywaniu obliczeń matematycznych, statystycznych, aktuarialnych, księgowych i innych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
332,Agenci i pośrednicy handlowi,"Agenci i pośrednicy handlowi reprezentują firmy, rządy i inne organizacje w transakcjach kupna i sprzedaży towarów, dóbr, ubezpieczeń, usług transportowych i innych zawieranych z podmiotami przemysłowymi, zawodowymi, handlowymi lub innymi lub też działają w charakterze niezależnych agentów w celu kontaktowania kupców i sprzedawców towarów i usług.",,"Zadania wykonywane przez agentów i pośredników handlowych zazwyczaj obejmują: uzyskiwanie informacji dotyczących tendencji i warunków rynkowych oraz dóbr i usług oferowanych przez swojego pracodawcę lub przez konkurencję, a także monitorowanie i analizowanie tych danych; uzyskiwanie informacji o potrzebach klientów i identyfikowanie odpowiadających im produktów i usług; opisywanie i prezentowanie klientom produktów i usług; negocjowanie cen, umów, warunków i uzgodnień dotyczących dostawy w przypadku transakcji zakupu lub sprzedaży dóbr, usług lub towarów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
333,Pośrednicy usług biznesowych,"Pośrednicy usług biznesowych uzgadniają umowy o sprzedaż różnych usług biznesowych dotyczących na przykład przestrzeni reklamowej w mediach; prowadzą działania związane z rozliczeniami celnymi zapewniając prawidłowość wszystkich dokumentów; znajdują miejsca pracy osobom poszukującym pracy oraz wyszukują pracowników dla pracodawców; uzgadniają umowy dotyczące występów sportowców, osób działających w branży rozrywkowej i artystów, a także publikacji książek, produkcji sztuk lub rejestrowania, wykonywania i sprzedaży materiału muzycznego; planują i organizują konferencje i podobne imprezy.",,"Zadania wykonywane przez pośredników usług biznesowych obejmują zazwyczaj: przeprowadzanie procedur związanych z rozliczeniami celnymi w przypadku importu i eksportu; organizowanie i koordynowanie świadczenia usług organizacji konferencji i imprez związanych z centrami konferencyjnymi, cateringiem, oznakowaniem, planszami informacyjnymi, sprzętem audiowizualnym i komputerowym, zakwaterowaniem, transportem i wydarzeniami towarzyskimi dla uczestników; znajdowanie miejsc pracy osobom poszukującym pracy; wyszukiwanie pracowników dla pracodawców; prezentowanie potencjalnym nabywcom lub najemcom nieruchomości przeznaczonych do sprzedaży lub pod wynajem oraz wyjaśnianie warunków ich sprzedaży lub wynajmu; sprzedaż aukcyjna różnego rodzaju nieruchomości, samochodów, towarów, zwierząt, dzieł sztuki, biżuterii i innych przedmiotów; uzgadnianie umów dla osób występujących i umów na występy. Do ich zadań może także należeć nadzorowanie innych pracowników.",
334,Pracownicy administracyjni i sekretarze wyspecjalizowani,Pracownicy administracyjni i sekretarze wyspecjalizowani świadczą usługi pomocnicze w zakresie organizacji komunikacji oraz prowadzenia dokumentacji. Pełnią obowiązki nadzorowania pracy pracowników obsługi biurowej zatrudnionych w przedsiębiorstwie.,,"Zadania wykonywane przez pracowników administracji ujętych w tej grupie obejmują zazwyczaj: koordynowanie, zlecanie i sprawdzanie pracy pracowników biurowych; przygotowywanie w postaci elektronicznej dokumentów takich jak akty prawne, testamenty, affidavity (dobrowolne, urzędowe, pisemne oświadczenie pod przysięgą) i streszczenia; prowadzenie i wspieranie prowadzonych w jednostce organizacyjnej działań komunikacyjnych, dokumentacyjnych i związanych z wewnętrzną koordynacją na szczeblu kierowniczym przy częstym wykorzystaniu wiedzy specjalistycznej dotyczącej działalności gospodarczej organizacji; wyznaczanie terminów i potwierdzanie spotkań oraz przekazywanie wiadomości klientom; sporządzanie, ewidencjonowanie i sprawdzanie dokumentacji medycznej i prawnej, sprawozdań, dokumentów i korespondencji. Do ich zadań może także należeć nadzorowanie innych pracowników.",
335,Urzędnicy państwowi do spraw nadzoru,"Urzędnicy państwowi do spraw nadzoru egzekwują lub stosują właściwe zasady i przepisy państwowe dotyczące granic państwa, podatków, świadczeń społecznych, wydają licencje lub pozwolenia oraz badają wnioski o wydanie licencji lub zezwoleń związanych z podróżami, eksportem i importem dóbr, zakładaniem przedsiębiorstw, wznoszeniem budynków i inną działalnością podlegającą przepisom państwowym.",,"Zadania wykonywane przez urzędników ujętych w tej grupie obejmują zazwyczaj: patrolowanie granic państwa, kontrolowanie osób i pojazdów, dokumentów podróżnych i transportowych oraz towarów przewożonych przez granicę celem zapewnienia przestrzegania zasad i przepisów państwowych; badanie zeznań podatkowych w celu określenia wysokości podatków należnych od osób i przedsiębiorstw; badanie i wydawanie decyzji w sprawie wniosków o przyznanie świadczeń społecznych; badanie i wydawanie decyzji w sprawie wniosków o państwowe zezwolenia i licencje wymagane do podróżowania, eksportowania i importowania dóbr, wznoszenia budynków, zakładania przedsiębiorstw lub podejmowania innej działalności podlegającej przepisom państwowym; monitorowanie przestrzegania uregulowań dotyczących cen, wynagrodzeń oraz miar i wag. Mogą oni otrzymywać wskazówki od wyższych urzędników państwowych lub kierowników. Do ich zadań może także należeć nadzorowanie innych pracowników.",
341,"Średni personel z dziedziny prawa, spraw społecznych i religii","Średni personel z dziedziny prawa, spraw społecznych i religii świadczy usługi techniczne i praktyczne oraz pełni funkcje pomocnicze w ramach procedur prawnych i dochodzeniowych, społecznych i społecznościowych programów pomocy oraz działalności religijnej i kulturalnej.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: pomaganie specjalistom w dziedzinie prawa, pracy socjalnej i religii oraz wspieranie ich działań; uzyskiwanie i analizowanie dowodów, przygotowywanie dokumentów prawnych i doręczanie nakazów sądowych; tworzenie i wdrażanie programów pomocy społecznej i prac społecznych; pomaganie klientom w postępowaniu w przypadku problemów osobistych i społecznych; udzielanie pojedynczym osobom i społecznościom praktycznej pomocy, porad i moralnego wsparcia. Do ich zadań może także należeć nadzorowanie innych pracowników.",
342,"Sportowcy, trenerzy i zawody pokrewne","Sportowcy, trenerzy i zawody pokrewne przygotowują się i biorą udział w zawodach sportowych w celu uzyskania korzyści finansowych, trenują sportowców zawodowych i amatorów z myślą o poprawie ich wyników, promują uprawianie sportu i przestrzeganie norm obowiązujących w sporcie, organizują i prowadzą imprezy sportowe, a także zapewniają instruktaż, trening i nadzór w zakresie różnych form ćwiczeń i innych zajęć rekreacyjnych.",,"Zadania sportowców, trenerów ujętych w tej grupie obejmują zazwyczaj: uczestniczenie w zawodach sportowych; prowadzenie treningów sportowych w celu rozwoju umiejętności i wiedzy na temat danej dyscypliny sportu; ustanawianie zasad dotyczących organizacji zawodów sportowych oraz kontrolowanie przebiegu przedmiotowych imprez; planowanie, organizowanie i prowadzenie sesji treningowych; opracowywanie i tworzenie programów fitness; prowadzenie grupowych zajęć w zakresie ćwiczeń fizycznych i treningów indywidualnych w ramach rozmaitych rodzajów ćwiczeń fitness; promowanie sportu i rozwoju umiejętności sportowych oraz nadzorowanie aktywności sportowej wśród młodzieży. Do ich zadań może także należeć nadzorowanie innych pracowników.",
343,"Średni personel w zakresie działalności artystycznej, kulturalnej i kulinarnej","Średni personel w zakresie działalności artystycznej, kulturalnej i kulinarnej łączy kreatywne umiejętności oraz wiedzę techniczną i kulturalną w celu tworzenia i obróbki fotografii; projektowania i dekorowania scenografii teatralnych, witryn sklepowych oraz wnętrz domów; przygotowania eksponatów do wystawienia; konserwacji zasobów bibliotecznych i zbiorów w galeriach, prowadzenia zapisów i systemów katalogowania; tworzenia menu, przygotowania i prezentacji potraw; zapewniania wsparcia przy tworzeniu produkcji scenicznych filmowych i telewizyjnych oraz w innych dziedzinach twórczości artystycznej i kulturalnej.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: obsługę aparatów fotograficznych w celu fotografowania ludzi, wydarzeń, miejsc, materiałów, produktów i innych tematów; zastosowanie technik artystycznych w celu opracowania projektu, dekoracji wnętrz i promocji sprzedaży; ustawianie i przygotowywanie przedmiotów do wystawienia; projektowanie i aranżowanie wystawy eksponatów, gablot wystawowych i przestrzeni wystawowych; układanie menu i nadzorowanie przygotowania potraw; wspieranie reżyserów i wykonawców przy wystawianiu produkcji teatralnych, filmowych, telewizyjnych i komercyjnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
351,Technicy do spraw technologii teleinformatycznych i pomocy użytkownikom  urządzeń teleinformatycznych,"Technicy do spraw technologii teleinformatycznych i pomocy użytkownikom urządzeń teleinformatycznych zapewniają wsparcie w zakresie codziennej eksploatacji systemów komunikacyjnych, systemów i sieci komputerowych oraz zapewniają wsparcie techniczne użytkownikom.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: obsługę i kontrolę urządzeń komputerowych; monitorowanie systemów ostrzegających o wystąpieniu awarii sprzętu lub błędów w działaniu; ładowanie odpowiednich materiałów do urządzeń zewnętrznych takich, jak drukarki przed rozpoczęciem pracy lub nadzorowanie załadunku materiałów do urządzeń zewnętrznych przez operatorów urządzeń zewnętrznych; udzielanie odpowiedzi na zapytania użytkowników dotyczące rozwiązywania problemów w zakresie eksploatacji sprzętu lub oprogramowania, instalowanie i dokonywanie drobnych napraw sprzętu, oprogramowania i urządzeń zewnętrznych zgodnie z projektem lub specyfikacjami dotyczącymi instalacji; nadzorowanie codziennej pracy systemów; przygotowanie sprzętu do użytkowania przez pracownika, przeprowadzanie lub zapewnianie prawidłowej instalacji przewodów, systemów operacyjnych lub odpowiedniego oprogramowania; tworzenie, obsługa i konserwacja sieci lub innych systemów komunikacyjnych; instalowanie, monitorowanie i udzielanie wsparcia w zakresie niezawodności i użyteczności internetowych i intranetowych stron sieciowych oraz sprzętu i oprogramowania serwera sieciowego; modyfikowanie stron internetowych, a także prowadzenie prac w zakresie tworzenia kopii zapasowych i odzyskiwania danych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
352,Technicy telekomunikacji i urządzeń transmisyjnych,"Technicy urządzeń telekomunikacyjnych i urządzeń transmisyjnych kontrolują stan techniczny sprzętu do rejestracji i edycji obrazu i dźwięku oraz transmisji obrazu i dźwięku w ramach programów radiowych i telewizyjnych oraz innych rodzajów sygnałów telekomunikacyjnych na lądzie, morzu lub pokładach statków powietrznych, prowadzą prace techniczne związane z badaniami w dziedzinie inżynierii telekomunikacyjnej oraz projektowaniem, produkcją, montażem, budową, obsługą oraz konserwacją i naprawą systemów telekomunikacyjnych.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: kontrolowanie sprzętu do rejestracji dźwięku, edytowania, łączenia nagrań dźwiękowych i zarejestrowanych obrazów; kontrolowanie i konserwację systemów transmisji i przesyłania danych oraz systemów satelitarnych obsługujących programy telewizyjne i radiowe; kontrolowanie i konserwację systemów komunikacji radiowej, usług satelitarnych i systemów multipleksów na lądzie, morzu i pokładach statków powietrznych; zapewnienie wsparcia technicznego w zakresie badań i rozwoju sprzętu telekomunikacyjnego lub testowanie prototypów; projektowanie i przygotowanie planów obwodów elektrycznych zgodnie z określonymi specyfikacjami; zapewnienie technicznego nadzoru produkcji, eksploatacji, konserwacji i naprawy systemów telekomunikacyjnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
411,Pracownicy obsługi biurowej,Pracownicy obsługi biurowej wykonują szereg biurowych i administracyjnych obowiązków zgodnie z obowiązującymi procedurami.,,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: zapisywanie, przygotowywanie, porządkowanie, klasyfikowanie i udokumentowanie informacji; porządkowanie, otwieranie i wysyłanie korespondencji; kserowanie i wysyłanie dokumentów faksem lub pocztą elektroniczną; przygotowywanie regularnych sprawozdań i korespondencji; prowadzenie rejestru urządzeń wydawanych pracownikom; odbieranie telefonów i korespondencji elektronicznej lub przekazywanie ich właściwym pracownikom; sprawdzanie danych, przygotowywanie faktur i zapisywanie szczegółów przeprowadzonych transakcji finansowych; wprowadzanie informacji do komputera, wypełnianie dokumentów, przyjmowanie i nadawanie korespondencji; korygowanie materiałów do druku. Do ich zadań może także należeć nadzorowanie innych pracowników.",
412,Sekretarki (ogólne),"Sekretarki (ogólne) zapisują informację słowną i pisemną lub utrwaloną w formie umożliwiającej wykorzystanie czytników automatycznych; obsługują maszyny księgujące i liczące; wydają i przepisują korespondencję i dokumenty w taki sposób, by odpowiadały one standardom danego urzędu oraz wykonują inne obowiązki sekretarskie. W swojej pracy korzystają z komputerów oraz innych urządzeń administracyjno-biurowych.",,"Do zadań wykonywanych przez sekretarki (ogólne) należy zazwyczaj: sprawdzanie, formatowanie i przepisywanie korespondencji, protokołów i sprawozdań ze słuchu, dokumentów elektronicznych lub wersji roboczych tak, by odpowiadały one standardom biura; wykorzystanie komputera oraz różnego rodzaju oprogramowania komputerowego i innych urządzeń do edycji tekstu; zarządzanie przychodzącą i wychodzącą korespondencją; skanowanie dokumentów; kontrolowanie wniosków o spotkania i wizyty oraz pomoc w organizacji spotkań; kontrola i prowadzenie rejestru urlopów i wykorzystanie innych uprawnień przysługujących pracownikom; organizowanie i nadzorowanie procesu dokumentacji; zarządzanie regularną korespondencją. Do ich zadań może także należeć nadzorowanie innych pracowników.",
413,Operatorzy urządzeń biurowych,"Operatorzy maszyn biurowych wprowadzają i przetwarzają dane, przygotowują, edytują i tworzą dokumenty, które będą przechowywane, przetwarzane, publikowane i przesyłane.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: wprowadzanie danych i kodów niezbędnych do przetwarzania informacji; odzyskiwanie, potwierdzanie i aktualizowanie danych oraz przechowywanie i prowadzenie rejestru wprowadzonych danych; sporządzanie notatek i stenografii za pomocą urządzeń komputerowych i stenograficznych maszyn do pisania; transkrypcja stenografii i nagranych dźwięków; weryfikacja i korekta; przedstawianie słowa mówionego, dźwięków otoczenia i słów piosenek w formie napisów w programach telewizyjnych i filmach. Do ich zadań może także należeć nadzorowanie innych pracowników.",
421,Pracownicy obrotu pieniężnego,"Pracownicy obrotu pieniężnego przeprowadzają operacje finansowe w przedsiębiorstwach oferujących usługi bankowe, pocztowe, bukmacherskie lub windykacyjne.",,Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: obsługę klientów banków i urzędów pocztowych w zakresie operacji finansowych lub usług pocztowych; przyjmowanie zakładów i wypłacanie wygranych w zakładach sportowych; prowadzenie zakładów bukmacherskich; pożyczanie pieniędzy w zastaw; windykacja długów i innych płatności. Do ich zadań może także należeć nadzorowanie innych pracowników.,
422,Pracownicy do spraw informowania klientów,"Pracownicy do spraw informowania klientów są odpowiedzialni za udzielanie i pozyskiwanie informacji osobiście, telefonicznie oraz drogą elektroniczną w zakresie organizacji podróży, opisu produktów i usług oferowanych przez daną organizację, rejestracji i powitania klientów lub gości, organizacji spotkań, przekierowania połączeń telefonicznych oraz gromadzenia informacji z ankiet lub wniosków o świadczenie usług.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: opracowywanie planu podróży oraz dokonywanie rezerwacji środków transportu i hoteli dla klientów; witanie klientów i gości, rejestracja gości w hotelach; udzielanie informacji dotyczących produktów, usług i polityki organizacji; organizacja spotkań; obsługa centrali telefonicznej; przeprowadzanie ankiet oraz sprawdzanie kwalifikowalności klientów do usług. Do ich zadań może także należeć nadzorowanie innych pracowników.",
431,Pracownicy do spraw finansowo-statystycznych,"Pracownicy do spraw finansowo-statystycznych pozyskują, opracowują i wprowadzają do komputera dane obrachunkowe, księgowe, statystyczne, finansowe, jak również inne dane liczbowe oraz nadzorują transakcje gotówkowe o mniej istotnym znaczeniu dla działalności przedsiębiorstwa.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: pomoc przy prowadzeniu rejestru i zapisu komputerowego księgowości; obliczanie kosztów jednostkowych produkcji; obliczanie wynagrodzenia, a w niektórych przypadkach przygotowywanie pakietu wynagrodzeniowego oraz wypłata wynagrodzenia; nadzorowanie transakcji gotówkowych o mniej istotnym znaczeniu dla działalności przedsiębiorstwa; pozyskiwanie, opracowywanie i wprowadzania do komputera danych statystycznych i aktuarialnych; wykonywanie prac biurowych związanych z transakcjami finansowymi przedsiębiorstwa ubezpieczeniowego, banku lub podobnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
432,Pracownicy do spraw ewidencji materiałowej i transportu,"Pracownicy spraw ewidencji materiałowej i transportu prowadzą rejestr wyprodukowanych, zakupionych, magazynowanych oraz wysłanych towarów, jak również materiałów niezbędnych na określonych etapach produkcyjnych lub prowadzą rejestr aspektów operacyjnych i koordynują transport osób i towarów.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: prowadzenie rejestru wyprodukowanych, magazynowanych, zamówionych oraz wysłanych towarów; prowadzenie rejestru otrzymanych, magazynowanych lub wydanych materiałów produkcyjnych; obliczanie ilości materiałów potrzebnych w określonych terminach; prowadzenie rejestru aspektów operacyjnych i koordynowanie transportu osób i towarów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
